,word,frequency
503,ACCOUNTABILITY,1
504,INTERACTION,1
505,ALLOWS,1
506,FEEL,1
507,PULSES,1
508,PROMPTLY,1
509,RESPOND,4
510,CONCERN,2
511,FOR,1
512,LIFT,1
513,MODERNISATION,1
514,SUBSIDY,5
515,PROPOSED,3
516,ALLOCATION,2
517,ASSIST,2
518,REPAIR,1
519,LIFTS,1
520,OLDER,1
521,BUILDINGS,5
522,RESPONSE,1
523,SUGGESTIONS,1
524,14,3
525,MEETING,1
526,DEMAND,1
527,GREATEST,2
528,CHALLENGE,1
529,TREATED,1
530,CHAPTER,1
531,PLACED,1
532,CHAPTERS,1
533,DEMONSTRATE,2
534,SHORTAGE,2
535,DIRECTLY,2
536,LEADS,1
537,AFFECTS,1
538,QUALITY,6
539,CHILD,5
540,CENTRES,2
541,ELDERLY,3
542,FACILITIES,7
543,BASIC,4
544,EDUCATION,10
545,LEISURE,2
546,OPEN,1
547,SPACE,1
548,CULTURAL,3
549,RECREATIONAL,1
550,MAINTAINING,1
551,ADVANTAGES,1
552,TRADITIONAL,1
553,TRADES,1
554,PROMOTING,3
555,INDUSTRIES,2
556,STRICTLY,1
557,NECESSARY,2
558,IMPROVEMENT,2
559,TRANSPORT,9
560,INFRASTRUCTURE,3
561,HINGE,1
562,STRATEGIES,2
563,PLANS,2
564,TALK,1
565,15,1
566,STATED,3
567,OCTOBER,1
568,COMPRISES,1
569,ELEMENTS,1
570,INCLUDE,5
571,ESTABLISHING,1
572,ROLE,2
573,PROVISION,5
574,LADDER,2
575,FOCUSING,2
576,OPTIMISING,1
577,EXISTING,3
578,CONDITIONS,4
579,OF,1
580,ANNOUNCED,3
581,JUNE,1
582,PRICING,4
583,SUBSIDISED,2
584,SALE,3
585,FLATS,5
586,SSFS,7
587,EFFECT,2
588,SELLING,2
589,PRICES,5
590,LONGER,1
591,LINKED,1
592,PRIVATE,5
593,INSTEAD,1
594,PRIMARILY,1
595,AFFORDABILITY,1
596,APPLICANTS,2
597,SITES,3
598,16,1
599,TO,7
600,SOLVE,1
601,PROBLEM,4
602,FACED,1
603,DEVELOP,2
604,RESOLUTE,1
605,PERSISTENT,1
606,MANNER,2
607,IDENTIFY,1
608,PRODUCE,1
609,BUILD,2
610,RESERVE,1
611,WAVER,1
612,FACE,2
613,CHANGES,2
614,FLUCTUATIONS,1
615,PROPERTY,1
616,DECENT,1
617,INCOME,3
618,BRACKETS,1
619,DURING,1
620,INCREASE,5
621,RATIO,3
622,BUREAU,1
623,CONSIDERATION,2
624,UPDATING,1
625,TARGET,4
626,STRATEGY,1
627,UNDERTAKE,1
628,70,4
629,UNITS,5
630,NEWLY,1
631,DEVELOPED,1
632,17,1
633,EXPECT,1
634,ATTRACT,1
635,LARGE,2
636,NUMBER,4
637,APPLICATIONS,1
638,FOLLOWING,3
639,AUTHORITY,3
640,HKHA,4
641,OPENED,1
642,HOME,5
643,OWNERSHIP,2
644,HOS,1
645,PROJECT,4
646,REGULARISED,1
647,GREEN,2
648,FORM,1
649,GSH,1
650,STARTER,1
651,HOMES,1
652,SH,1
653,PILOT,4
654,URBAN,1
655,RENEWAL,1
656,URA,2
657,LAUNCHED,1
658,SUBSEQUENTLY,1
659,PROJECTS,2
660,426,1
661,CONDUCTED,3
662,TESTS,1
663,BATCHES,2
664,ADJUSTED,2
665,LOAN,1
666,LTV,1
667,90,1
668,SSF,2
669,AFFORDABLE,1
670,HOUSEHOLDS,2
671,PAYMENT,2
672,GENERALLY,1
673,EXCEED,1
674,HOUSEHOLD,1
675,NOW,2
676,REBUILT,1
677,MECHANISM,2
678,ISSUE,2
679,URGENTLY,1
680,DEAL,2
681,19,1
682,TASK,7
683,FORCE,9
684,SET,5
685,SEPTEMBER,2
686,SHOULDERED,1
687,DELIBERATION,1
688,ATTEMPT,1
689,COMMITMENT,3
690,HARD,1
691,WORK,6
692,HIGHLY,3
693,RESPECTABLE,1
694,HALF,2
695,MONTH,2
696,AGO,1
697,REQUEST,1
698,SHARED,2
699,PRELIMINARY,1
700,OBSERVATIONS,3
701,ATTENTION,1
702,CENTRED,1
703,RESPECT,1
704,INDIVIDUAL,2
705,ATTRACTED,1
706,GENERAL,1
707,BROADLY,2
708,AGREES,1
709,PRESSING,2
710,PREPARED,1
711,RAINY,1
712,DAYS,1
713,MULTI,1
714,PRONGED,1
715,20,4
716,LINE,1
717,THEY,2
718,LANTAU,8
719,TOMORROW,4
720,VISION,10
721,BROWNFIELD,2
722,REVITALISATION,2
723,INDUSTRIAL,3
724,REGARDS,1
725,ANALYSIS,1
726,DETAILED,1
727,RECOMMENDATIONS,2
728,REPORT,2
729,SUBMITTED,1
730,21,1
731,LARGEST,1
732,OUTLYING,1
733,ISLAND,1
734,AIRPORT,1
735,GATEWAY,2
736,COMMISSIONING,1
737,ZHUHAI,1
738,BRIDGE,1
739,CONNECTIVITY,1
740,IMPROVED,1
741,MAKING,1
742,DOUBLE,1
743,22,1
744,ISLANDS,1
745,700,3
746,HECTARES,1
747,NEAR,1
748,KAU,1
749,YI,1
750,CHAU,2
751,HEI,1
752,LING,1
753,CENTRAL,2
754,WATERS,1
755,NORTH,1
756,COASTAL,1
757,TUEN,1
758,MUN,1
759,RIVER,1
760,TRADE,4
761,TERMINAL,1
762,PLANNING,4
763,LUNG,1
764,KWU,1
765,TAN,1
766,SUPPORTED,1
767,NETWORKS,1
768,AIMS,1
769,INSTIL,1
770,MEET,3
771,CAREER,1
772,ASPIRATIONS,4
773,PROVIDING,4
774,260,1
775,400,1
776,RESIDENTIAL,1
777,ACCOMMODATING,1
778,100,1
779,CREATING,1
780,340,1
781,JOBS,1
782,COMING,2
783,30,3
784,YEARS,9
785,REALISED,1
786,DIRECTIONS,1
787,INCREASING,4
788,ACCORDING,3
789,PRIORITY,3
790,ENVIRONMENTAL,2
791,CAPACITY,1
792,ENTERTAINMENT,1
793,AND,1
794,ACHIEVE,2
795,23,3
796,INVOLVES,1
797,OVERALL,2
798,IMPLEMENTATION,3
799,MAJOR,2
800,DECADES,1
801,REQUIRES,2
802,NON,3
803,GOVERNMENTAL,1
804,ORGANISATIONS,3
805,NGOS,1
806,ENTAILS,1
807,METICULOUS,1
808,ORDINATION,2
809,SOON,1
810,POSSIBLE,1
811,DEDICATED,1
812,ACCOUNTABLE,1
813,STEER,1
814,DIRECTION,1
815,ORDINATE,1
816,MONITOR,3
817,PROGRAMME,1
818,EXPANDED,1
819,NEEDED,2
820,ENSURE,1
821,EFFECTIVELY,2
822,MATCHED,1
823,24,1
824,SPEED,2
825,STUDIES,1
826,TERRITORIES,1
827,ARRANGEMENTS,2
828,REPROVISIONING,1
829,OPERATIONS,2
830,FACILITATE,3
831,INTRODUCING,1
832,COVERED,1
833,PLANNED,1
834,UTILISED,1
835,FAIR,1
836,TRANSPARENT,1
837,NEEDS,2
838,MEDIUM,2
839,DISPEL,1
840,WORRIES,1
841,60,2
842,FLOOR,1
843,USED,1
844,MAINLY,2
845,REACTIVATE,1
846,IMMINENT,1
847,ALLOW,2
848,WHOLESALE,1
849,CONVERSION,1
850,TRANSITIONAL,1
851,25,2
852,FURTHERMORE,2
853,HKHS,3
854,REDEVELOP,1
855,AGED,3
856,RENTAL,1
857,ESTATES,1
858,INVITE,1
859,LAUNCH,1
860,REDEVELOPMENT,2
861,SERVANTS,1
862,CO,1
863,OPERATIVE,1
864,SETTLERS,1
865,CORPORATION,1
866,LIMITED,2
867,TAKING,4
868,TAI,1
869,HANG,1
870,SAI,1
871,ESTATE,1
872,BY,4
873,DOING,1
874,OWNERS,4
875,RESIDENTS,1
876,26,1
877,EFFICIENT,1
878,LIGHT,1
879,OPERATIONAL,1
880,JOIN,1
881,PREMIUM,3
882,UNPAID,1
883,SUBLET,1
884,NEEDY,1
885,INTRODUCE,3
886,INITIATIVE,5
887,OCCUPATION,1
888,FAMILY,3
889,ALLOWED,1
890,ENJOY,1
891,LIFETIME,1
892,RENT,1
893,EXEMPTION,1
894,TRANSFER,1
895,SMALL,2
896,REFURBISHED,1
897,ACCEPT,1
898,RECOMMENDATION,1
899,FLAT,3
900,PAID,1
901,UNDER,1
902,OWNED,1
903,SELL,1
904,ORIGINAL,1
905,BUY,1
906,SMALLER,1
907,SECONDARY,3
908,27,1
909,OUR,4
910,ADEQUATE,1
911,MANPOWER,2
912,UNEMPLOYMENT,1
913,RATE,2
914,LOWEST,1
915,EMPLOYERS,3
916,EXPRESSED,1
917,DIFFICULTIES,1
918,STAFF,1
919,RECRUITMENT,1
920,LABOUR,8
921,ASSET,1
922,MAINTAIN,1
923,EMPLOYEES,8
924,PRODUCTIVITY,1
925,28,2
926,SERIES,4
927,RELATED,1
928,VIEW,2
929,FOSTERING,2
930,RELATIONS,1
931,29,2
932,CONCERNS,1
933,BELEAGUERED,1
934,WAGE,1
935,EARNERS,1
936,HAVING,2
937,CAREFULLY,3
938,CONSIDERED,1
939,DECIDED,1
940,EXTEND,3
941,PERIOD,2
942,TIER,2
943,TOGETHER,1
944,ENTIRE,1
945,SIGNIFICANTLY,1
946,INCREASED,2
947,BELIEVE,6
948,IMPACT,1
949,ABOLISHING,1
950,MICRO,1
951,SIZED,1
952,SECURE,1
953,ENABLING,2
954,LEGISLATION,2
955,E,1
956,2022,1
957,IMPLEMENT,3
958,AMENDMENTS,1
959,BESIDES,1
960,RIGHTS,1
961,INJURED,1
962,LOOKING,2
963,RECOVERY,1
964,EFFECTIVENESS,1
965,OCCUPATIONAL,1
966,SAFETY,1
967,SERIOUSLY,1
968,DEPARTMENT,4
969,CONDUCT,1
970,DEPTH,1
971,SURPRISE,1
972,INSPECTIONS,1
973,PLACE,1
974,GUIDELINES,1
975,ONLINE,1
976,PLATFORM,1
977,UNSAFE,1
978,WORKING,3
979,MOBILE,1
980,DEVICES,1
981,PROMPT,1
982,FOLLOW,1
983,31,1
984,CONTRACTORS,2
985,SOURCE,1
986,HUMAN,1
987,EMPLOYMENT,3
988,TERMS,3
989,HELP,2
990,INTER,1
991,DEPARTMENTAL,1
992,GROUP,1
993,COMPLETED,1
994,REVIEW,2
995,SKILLED,1
996,ENGAGED,1
997,CONTRACTS,1
998,TENDERED,1
999,APRIL,1
1000,2019,3
1001,32,1
1002,GREW,1
1003,STRONGLY,1
1004,REAL,1
1005,PREVIOUS,1
1006,RIDING,1
1007,POSITIVE,1
1008,GLOBAL,2
1009,INITIAL,2
1010,OFFERING,1
1011,IPO,2
1012,ACTIVITIES,2
1013,GAINING,1
1014,MOMENTUM,1
1015,UP,1
1016,FUNDS,1
1017,RAISED,1
1018,REACHED,2
1019,238,1
1020,HIGHEST,1
1021,COUNTERPARTS,1
1022,FAR,2
1023,LATEST,1
1024,ANNUAL,1
1025,SURVEY,1
1026,JOINTLY,1
1027,CENSUS,1
1028,STATISTICS,1
1029,PARENT,1
1030,COMPANIES,2
1031,SITUATED,2
1032,AMONG,1
1033,530,1
1034,REGIONAL,1
1035,HEADQUARTERS,1
1036,REPRESENTING,1
1037,COMPARED,1
1038,33,2
1039,HOWEVER,2
1040,UNCERTAINTIES,1
1041,MARKEDLY,1
1042,FRICTION,1
1043,CHINA,1
1044,STATES,1
1045,ESCALATING,1
1046,MARKETS,1
1047,AFFECTED,2
1048,CLOSELY,1
1049,SUITABLY,1
1050,COMMERCE,1
1051,MET,2
1052,ASSOCIATIONS,1
1053,HOST,1
1054,34,1
1055,MEANWHILE,1
1056,SERVING,1
1057,SEIZE,2
1058,BROUGHT,1
1059,BELT,1
1060,B,2
1061,GENERATING,1
1062,IMPETUS,2
1063,MARITIME,1
1064,INDUSTRY,3
1065,INSURANCE,1
1066,FILM,1
1067,CHINESE,2
1068,MEDICINE,2
1069,SECTOR,4
1070,CONDUCIVE,1
1071,STEP,1
1072,FURTHER,2
1073,50,2
1074,ADDITIONAL,5
1075,UNIVERSITY,2
1076,INDUSTRIALISATION,1
1077,35,2
1078,WARRANTS,1
1079,DEVOTION,1
1080,SINCE,1
1081,SCHOOL,4
1082,EXPENDED,2
1083,RECURRENT,4
1084,ACCORDANCE,1
1085,STABLE,1
1086,CARING,1
1087,TEACHING,2
1088,LEARNING,2
1089,GRADUALLY,1
1090,SHAPE,1
1091,ACCOUNT,1
1092,PROFESSIONAL,2
1093,LED,1
1094,FORCES,1
1095,ANNOUNCE,1
1096,INVOLVING,1
1097,TEACHERS,1
1098,PRINCIPALS,1
1099,PARENTS,1
1100,SUCH,2
1101,SCHOOLS,4
1102,GRANT,1
1103,GRADUATE,1
1104,EARMARKING,1
1105,MIDDLE,1
1106,MANAGEMENT,1
1107,LEVEL,1
1108,STRENGTHENING,1
1109,OPERATION,1
1110,VOCATIONAL,1
1111,TRAINING,3
1112,SUBSIDIES,1
1113,STUDENTS,2
1114,PURSUE,1
1115,POST,1
1116,EDUCATIONAL,1
1117,36,2
1118,EXCEEDED,1
1119,EARLIER,1
1120,GIVEN,1
1121,HAGGLE,1
1122,TRIM,1
1123,RESOURCE,1
1124,CONSTRAINTS,1
1125,LOOK,1
1126,HAND,2
1127,GENERATIONS,1
1128,37,1
1129,PATIENT,1
1130,POVERTY,1
1131,ALLEVIATION,1
1132,ESSENTIAL,1
1133,COMPASSIONATE,1
1134,PROPOSES,1
1135,ETHNIC,1
1136,MINORITIES,1
1137,YOUTH,2
1138,COMMISSION,1
1139,500,1
1140,MILLION,1
1141,RESPECTIVELY,1
1142,38,1
1143,PASSENGER,1
1144,TRIPS,1
1145,MEANS,1
1146,TESTED,1
1147,FARE,2
1148,WAIVING,1
1149,TOLLS,3
1150,CHARGED,1
1151,FRANCHISED,2
1152,BUSES,2
1153,USING,2
1154,TUNNELS,2
1155,ROADS,1
1156,EASE,1
1157,PRESSURE,2
1158,ALLEVIATING,1
1159,BURDEN,1
1160,EXPENSES,1
1161,AGREEMENT,1
1162,FRANCHISEE,2
1163,WESTERN,1
1164,CROSSING,1
1165,WHC,3
1166,PAY,3
1167,ADJUSTMENT,1
1168,TUNNEL,1
1169,CARS,1
1170,TAXIS,1
1171,MOTORCYCLES,1
1172,DISTRIBUTION,1
1173,TRAFFIC,3
1174,CONGESTION,2
1175,39,1
1176,REDUCING,1
1177,HELPS,1
1178,ROADSIDE,2
1179,AIR,2
1180,POLLUTANT,1
1181,LEVELS,1
1182,SUCCESSFUL,1
1183,PHASING,1
1184,PRE,1
1185,EURO,2
1186,IV,2
1187,DIESEL,2
1188,COMMERCIAL,2
1189,VEHICLES,2
1190,PROGRESSIVELY,1
1191,PHASE,1
1192,2023,1
1193,ENCOURAGE,2
1194,METROPOLIS,1
1195,GROUNDED,1
1196,TRADITIONS,1
1197,ENRICHED,1
1198,CULTURES,1
1199,RECENT,2
1200,MUSEUMS,3
1201,FLOURISHING,1
1202,WEST,1
1203,KOWLOON,1
1204,DISTRICT,1
1205,BOAST,1
1206,CLASS,1
1207,M,1
1208,PALACE,1
1209,MUSEUM,3
1210,MOREOVER,1
1211,ART,2
1212,DONATIONS,1
1213,PRECIOUS,1
1214,PAINTINGS,1
1215,CALLIGRAPHY,1
1216,CHIH,1
1217,LO,1
1218,LOU,1
1219,WU,1
1220,GUANZHONG,1
1221,TREASURES,1
1222,DISPLAYED,1
1223,PERMANENT,1
1224,EXHIBITS,1
1225,DISTINCT,1
1226,IDENTITIES,1
1227,NOVEL,1
1228,LANDMARKS,1
1229,CULTURE,1
1230,ARTS,1
1231,TOURISM,1
1232,WATERFRONT,1
1233,VICTORIA,1
1234,41,1
1235,ASIAN,1
1236,GAMES,2
1237,INDONESIA,1
1238,AUGUST,1
1239,ATHLETES,5
1240,IMPRESSED,1
1241,ACHIEVEMENTS,1
1242,GONE,1
1243,TOUGH,1
1244,DEMONSTRATED,1
1245,PERSEVERANCE,1
1246,SPORTSMANSHIP,1
1247,TAKES,1
1248,PRIDE,1
1249,PERFORMANCE,1
1250,COACHES,1
1251,SPORTS,6
1252,PROFESSIONALS,1
1253,SCIENCE,1
1254,WAYS,2
1255,INSTITUTE,1
1256,CONTINUE,5
1257,ELITE,1
1258,SCALING,1
1259,TOKYO,1
1260,2020,1
1261,OLYMPICS,1
1262,COMPETITIONS,1
1263,42,1
1264,OVER,1
1265,GOVERNING,1
1266,COMPLEX,1
1267,SITUATIONS,1
1268,CONFLICTS,1
1269,EMERGED,1
1270,TOLERATE,1
1271,ACTS,4
1272,ADVOCATE,1
1273,THREATENS,1
1274,SOVEREIGNTY,1
1275,SECURITY,5
1276,INTERESTS,2
1277,FEARLESSLY,1
1278,ACTIONS,2
1279,SAFEGUARD,2
1280,NIP,1
1281,BUD,1
1282,REINFORCED,1
1283,UNDERSTANDING,1
1284,CONSTITUTION,2
1285,NATIONAL,3
1286,FOSTERED,1
1287,AWARENESS,1
1288,43,1
1289,LEGISLATE,1
1290,ARTICLE,2
1291,PUBLICLY,1
1292,CONSIDER,1
1293,FACTORS,1
1294,PRUDENTLY,1
1295,CREATE,1
1296,FAVOURABLE,1
1297,YET,1
1298,DOES,1
1299,SUGGEST,1
1300,TURN,1
1301,BLIND,1
1302,EYE,1
1303,VIOLATING,1
1304,ATTEMPTING,1
1305,SECEDE,1
1306,ENDANGERING,1
1307,LAWS,1
1308,ASIDE,1
1309,APPLIED,1
1310,PROHIBITED,1
1311,TOOK,1
1312,APPLYING,1
1313,SOCIETIES,1
1314,ORDINANCE,1
1315,BEARS,1
1316,TESTIMONY,1
1317,AROUSED,1
1318,EXTENSIVE,1
1319,INTENSE,1
